"","title","date","article_link","thumbnail_link"
"1","Laowa 100mm f/2.8 Ultra Macro Now Available in Pentax K and Stepless on Canon EF","Nov 13, 2020","https://petapixel.com/2020/11/13/laowa-100mm-f-2-8-ultra-macro-now-available-in-pentax-k-and-stepless-on-canon-ef/","https://petapixel.com/assets/uploads/2020/11/Laowa-100mm-f2.8-Ultra-Macro-Now-Available-in-Pentax-K-and-Stepless-on-Canon-EF-450x300.jpg"
"2","Pentax’s New APS-C DSLR Can Hit ISO 1.6 Million, Will Cost Around $2,500","Oct 27, 2020","https://petapixel.com/2020/10/27/pentaxs-new-aps-c-dslr-can-hit-iso-1-6-million-will-cost-around-2500/","https://petapixel.com/assets/uploads/2020/10/pentaxk3-450x300.jpg"
"3","Pentax vs Contax: Testing 2 Go-To Film Cameras for Wedding Photography","Oct 17, 2020","https://petapixel.com/2020/10/17/pentax-vs-contax-testing-2-go-to-film-cameras-for-wedding-photography/","https://petapixel.com/assets/uploads/2020/10/Thumbnail-3-Pentax-Vs-Contax_331A5055_sm-450x300.jpg"
"4","The Waitress, the Tarantula, the Body in the Bathtub, and Why I Had To Buy My Girlfriend a New Pentax","Jul 25, 2020","https://petapixel.com/2020/07/25/the-waitress-the-tarantula-the-body-in-the-bathtub-and-why-i-had-to-buy-my-girlfriend-a-new-pentax/","https://petapixel.com/assets/uploads/2020/07/girlfriendpentaxfeat-450x300.jpg"
"5","Review: Pentax D FA* 85mm Doesn’t Compromise on Image Quality","Jul 23, 2020","https://petapixel.com/2020/07/23/review-pentax-d-fa-85mm-doesnt-compromise-on-image-quality/","https://petapixel.com/assets/uploads/2020/07/pentax85mmreviewfeat-450x300.jpg"
"6","Pentax Shares More Details About Its Upcoming APS-C Flagship DSLR","Jul 22, 2020","https://petapixel.com/2020/07/22/pentax-shares-more-details-about-its-upcoming-aps-c-flagship-dslr/","https://petapixel.com/assets/uploads/2020/07/pentax_feat-450x300.jpg"
"7","Why Pentax is Making the Right Call in Sticking with DSLRs","Jul 18, 2020","https://petapixel.com/2020/07/18/why-pentax-is-making-the-right-call-in-sticking-with-dslrs/","https://petapixel.com/assets/uploads/2020/07/pentaxk1iifeat-450x300.jpg"
"8","Pentax Reasserts Commitment to SLRs Over Mirrorless in New ‘Brand Vision’","Jul 16, 2020","https://petapixel.com/2020/07/16/pentax-reasserts-commitment-to-slrs-over-mirrorless-in-new-brand-vision/","https://petapixel.com/assets/uploads/2020/05/pentaxapsc-450x300.jpg"
"9","Pentax Officially Unveils Long-Awaited FA* 85mm f/1.4 Lens for the K-Mount","May 28, 2020","https://petapixel.com/2020/05/28/pentax-officially-unveils-long-awaited-fa-85mm-f-1-4-lens-for-the-k-mount/","https://petapixel.com/assets/uploads/2020/05/pentax_feat-450x300.jpg"
"10","Pentax Reveals New APS-C DSLR and Three Lenses in Online Presentation","May 15, 2020","https://petapixel.com/2020/05/15/pentax-reveals-new-aps-c-dslr-and-three-lenses-in-cp-2020-presentation/","https://petapixel.com/assets/uploads/2020/05/pentaxapsc-450x300.jpg"
"11","Pentax Announces Development of ‘Star-series’ 85mm f/1.4 Lens","Mar 24, 2020","https://petapixel.com/2020/03/24/pentax-announces-development-of-star-series-85mm-f-1-4-lens/","https://petapixel.com/assets/uploads/2020/03/pentax_feat-450x300.jpg"
"12","Pentax Unveils Oddly Familiar 70-210mm f/4 Lens for K-Mount DSLRs","Jan 22, 2020","https://petapixel.com/2020/01/22/pentax-unveils-oddly-familiar-70-210mm-f-4-lens-for-k-mount-dslrs/","https://petapixel.com/assets/uploads/2020/01/ricoh_feat-450x300.jpg"
"13","First Look: This is the Upcoming Pentax APS-C Flagship DSLR","Sep 30, 2019","https://petapixel.com/2019/09/30/first-look-this-is-the-upcoming-pentax-aps-c-flagship-dslr/","https://petapixel.com/assets/uploads/2019/09/pentaxapsc_feat-450x300.jpg"
"14","Ricoh Announces Development of New Pentax Flagship APS-C DSLR","Sep 20, 2019","https://petapixel.com/2019/09/20/ricoh-announces-development-of-new-pentax-flagship-aps-c-dslr/","https://petapixel.com/assets/uploads/2019/09/pentax_feat-450x300.jpg"
"15","Sigma is Giving Up on the Pentax K-Mount to Focus on Mirrorless Lenses","Sep 10, 2019","https://petapixel.com/2019/09/10/sigma-is-giving-up-on-the-pentax-k-mount-to-focus-on-mirrorless-lenses/","https://petapixel.com/assets/uploads/2019/09/pentaxsigma_feat-450x300.jpg"
"16","Rumor: Ricoh May Lose Rights to Use Pentax Brand. Ricoh: Uh, No.","May 30, 2019","https://petapixel.com/2019/05/30/rumor-ricoh-may-lose-rights-to-use-pentax-brand-ricoh-uh-no/","https://petapixel.com/assets/uploads/2019/05/pentaxbyricohfeattt-450x300.jpg"
"17","Ricoh Unveils Pentax 11-18mm f/2.8 and 35mm f/2 K-mount Lenses","Jan 31, 2019","https://petapixel.com/2019/01/31/ricoh-unveils-pentax-11-18mm-f-2-8-and-35mm-f-2-k-mount-lenses/","https://petapixel.com/assets/uploads/2019/01/pentaxlensesfeat-450x300.jpg"
"18","Ricoh Will Turn Your Pentax K-1 Into a K-1 Mark II for $550","Feb 22, 2018","https://petapixel.com/2018/02/22/ricoh-will-turn-pentax-k-1-k-1-mark-ii-550/","https://petapixel.com/assets/uploads/2018/02/pentaxconversionfeatt-450x300.jpg"
"19","Pentax K-1 Mark II Offers ISO 819200 and Handheld Pixel Shift","Feb 21, 2018","https://petapixel.com/2018/02/21/pentax-k-1-mark-ii-offers-iso-819200-handheld-pixel-shift/","https://petapixel.com/assets/uploads/2018/02/pentaxk1iifeat-450x300.jpg"
"20","DxOMark’s Pentax 645Z Review is Out After 2 Year Delay, Scores 101","Nov 20, 2017","https://petapixel.com/2017/11/20/dxomarks-pentax-645z-review-2-year-delay-scores-101/","https://petapixel.com/assets/uploads/2017/11/dxomarkpentaxreviewfeat-450x300.jpg"
"21","Ricoh Announces 11-18mm f/2.8 and 50mm f/1.4 Pentax Star-series Lenses","Oct 26, 2017","https://petapixel.com/2017/10/26/ricoh-announces-11-18mm-f2-8-50mm-f1-4-pentax-star-series-lenses/","https://petapixel.com/assets/uploads/2017/10/lead-4-450x300.jpg"
"22","Metabones Devil’s Speed Booster Can Give Your Pentax Q an f/0.666 Lens","Oct 11, 2017","https://petapixel.com/2017/10/11/metabones-new-speed-booster-turns-pentax-qs-low-light-monsters/","https://petapixel.com/assets/uploads/2017/10/speedbooster-lead-450x300.jpg"
"23","The Pentax 645Z Got a Crazy DxOMark Score of 101 Back in 2015","Oct 11, 2017","https://petapixel.com/2017/10/11/pentax-645z-got-crazy-dxomark-score-101-back-2015/","https://petapixel.com/assets/uploads/2017/10/pentax645z-450x300.jpg"
"24","Bye Bye, Pentax? Ricoh May Kill Off Its Camera Business","Apr 12, 2017","https://petapixel.com/2017/04/12/bye-bye-pentax-ricoh-may-kill-off-camera-business/","https://petapixel.com/assets/uploads/2017/04/rippentaxfeat-450x300.jpg"
"25","One Year with the Pentax 645Z","Jan 30, 2017","https://petapixel.com/2017/01/30/one-year-pentax-645z/","https://petapixel.com/assets/uploads/2014/01/645z_feat-450x300.jpg"
"26","Here Are Official Sample Photos for the New Pentax KP DSLR","Jan 26, 2017","https://petapixel.com/2017/01/26/official-sample-photos-new-pentax-kp-dslr/","https://petapixel.com/assets/uploads/2017/01/pentaxkpsamplephotofeat-450x300.jpg"
"27","Pentax KP Official: Weatherproof, ISO 819200, Shake Reduction II, and 27 AF Points","Jan 26, 2017","https://petapixel.com/2017/01/26/pentax-kp-official-weatherproof-iso-819200-shake-reduction-ii-27-af-points/","https://petapixel.com/assets/uploads/2017/01/pentaxkpfeat-450x300.jpg"
"28","Pentax KP Photos and Specs Leaked: ISO 819200, Pixel Shift, and More","Jan 25, 2017","https://petapixel.com/2017/01/25/pentax-kp-photos-specs-leaked-iso-819200-pixel-shift/","https://petapixel.com/assets/uploads/2017/01/pentaxleak_feat-450x300.jpg"
"29","Side-by-Side Photo of the Fuji GFX and Pentax 645z Shows Size Difference","Jan 09, 2017","https://petapixel.com/2017/01/09/side-side-photo-fuji-gfx-pentax-645z-shows-size-difference/","https://petapixel.com/assets/uploads/2017/01/sizecomparison_feat-450x300.jpg"
"30","Pentax K1000 Overhaul Video Reveals the SLR’s Mechanical Beauty","Oct 20, 2016","https://petapixel.com/2016/10/20/pentax-k1000-overhaul-video-reveals-slrs-mechanical-beauty/","https://petapixel.com/assets/uploads/2016/10/pentaxk1000feat-450x300.jpg"
"31","Pentax K-1 a ‘Full-Frame Marvel,’ Third Best ILC DxOMark Has Ever Tested","Sep 16, 2016","https://petapixel.com/2016/09/16/pentax-k-1-full-frame-marvel-third-best-ilc-dxomark-ever-tested/","https://petapixel.com/assets/uploads/2016/09/k_1_feat-450x300.jpg"
"32","Hasselblad X1D vs Sony A7r II vs Canon 5DS vs Pentax 645D: Size Comparison","Jun 23, 2016","https://petapixel.com/2016/06/23/sony-a7r-ii-vs-hasselblad-x1d-camera-size-comparison/","https://petapixel.com/assets/uploads/2016/06/sizecome_2-450x300.jpg"
"33","Pentax’s New Film Duplicator Makes Digitizing Large Format Film a Breeze","Jun 20, 2016","https://petapixel.com/2016/06/20/pentax-film-duplicator-lets-digitize-large-format-film-dslr/","https://petapixel.com/assets/uploads/2016/06/duplicator_feat-450x300.jpg"
